Q_type,Q_ID,Name,Community,State,Answer,Grps_discussed
Calibration,CAL_25,Baeckea gunniana,wetland,%cover in the past,9.9,2
Calibration,CAL_11,Carpha alpina,wetland,range,700,2
Calibration,CAL_13,Eucalyptus pauciflora,woodland,range,425,2
Calibration,CAL_21,Grevillea australis,heathland,%cover in the past,10.8,2
Calibration,CAL_9,Montia australasica,snowpatch,range,480,2
Calibration,CAL_19,Orites lancifolia,heathland,%cover in the past,14.5,2
Calibration,CAL_15,Oxylobium ellipticum,woodland,range,425,2
Calibration,CAL_20,Pimelea axiflora,heathland,%cover in the past,3.7,2
Calibration,CAL_8,Plantago muelleri,snowpatch,range,230,2
Calibration,CAL_7,Poa fawcettiae,snowpatch,range,500,2
Calibration,CAL_16,Poa hiemata,grassland,%cover in the past,30.8,2
Calibration,CAL_3,Podolepis robusta,grassland,range,730,2
Calibration,CAL_27,Richea continentis,wetland,%cover in the past,14.9,2
Calibration,CAL_17,Scleranthus biflorus,grassland,%cover in the past,2.6,2
Calibration,CAL_14,Stylidium montanum,woodland,range,425,2